Quarter,Inventory Bldgs,Inventory SF,Vacant SF Direct,Vacant SF Sublet,Vacant SF Total,Vacant Percent % Direct,Vacant Percent % Sublet,Vacant Percent % Total,Total Available SF Direct,Total Available SF Sublet,Total Available SF Total,Total Available Percent % Direct,Total Available Percent % Sublet,Total Available Percent % Total,Vacant Available SF Direct,Vacant Available SF Sublet,Vacant Available SF Total,Vacant Available Percent % Direct,Vacant Available Percent % Sublet,Vacant Available Percent % Total,Occupancy SF,Occupancy %,Net Absorption SF Direct,Net Absorption SF Sublet,Net Absorption SF Total,Gross Absorption SF Direct,Gross Absorption SF Sublet,Gross Absorption SF Total,Leasing Activity Deals Direct,Leasing Activity Deals Sublet,Leasing Activity Deals Total,Leasing Activity SF Direct,Leasing Activity SF Sublet,Leasing Activity SF Total,Deliveries Bldgs,Deliveries SF,Under Construction Bldgs,Under Construction SF,Office Gross Rent Direct,Office Gross Rent Sublet,Office Gross Rent Overall,Office Base Rent Direct,Office Base Rent Sublet,Office Base Rent Overall
2005 Q3,4120,563889051,34346883,6094560,40441443,6.1,1.1,7.2,40473930,11029620,50901314,7.1,1.9,8.9,29788262,5243673,35031935,5.3,0.9,6.2,523447608,92.8,2828773,1595384,4424157,8467998,2974845,11442843,1220,168,1388,5894465,1029402,6923867,1,50000,10,5826217,42.41,40.22,42.42,39.89,40.24,40.07
2005 Q2,4125,564186053,37474746,7689944,45164690,6.6,1.4,8,42906500,12086061,54404185,7.5,2.1,9.5,30859648,6045775,36905423,5.5,1.1,6.5,519021363,92,-331135,1153859,822724,8361682,3080740,11442422,1460,216,1676,7384775,2061148,9445923,1,9845,10,5801607,42.11,45.4,42.5,39.84,43.96,40.35
2005 Q1,4125,564184208,37141766,8843803,45985569,6.6,1.6,8.2,1035428,0,1035428,0.2,0,0.2,29943561,7494443,37438004,5.3,1.3,6.6,518198639,91.8,840318,852997,1693315,8596725,4439792,13036517,1416,232,1648,7344356,1981822,9326178,4,152756,9,5730855,40.89,44.41,41.47,38.46,43.78,39.04
2004 Q4,4125,564838452,38636328,9696800,48333128,6.8,1.7,8.6,1061492,0,1061492,0.2,0,0.2,30639714,7913547,38553261,5.4,1.4,6.8,516505324,91.4,70872,589758,660630,7545147,3164708,10709855,1274,237,1511,5655722,1882153,7537875,2,68724,10,5573512,40.57,33.61,40.27,38.11,33.29,37.84
2004 Q3,4126,564838154,38706902,10286558,48993460,6.9,1.8,8.7,1009720,0,1009720,0.2,0,0.2,31393920,8242615,39636535,5.6,1.5,7,515844694,91.3,1914811,117323,2032134,9850858,3637577,13488435,1257,194,1451,5899366,2147123,8046489,2,1210638,10,3239236,40.15,33.43,39.78,37.44,32.93,37.08
2004 Q2,4127,564051879,39835438,10403881,50239319,7.1,1.8,8.9,1015420,0,1015420,0.2,0,0.2,31824871,8969763,40794634,5.6,1.6,7.2,513812560,91.1,2371336,902154,3273490,8905237,3578250,12483487,1336,194,1530,7719824,1731137,9450961,2,1282000,11,4440029,40.04,33.11,39.46,37.29,32.14,36.76
2004 Q1,4127,562842379,40997274,11306035,52303309,7.3,2,9.3,1053147,0,1053147,0.2,0,0.2,32679160,9046098,41725258,5.8,1.6,7.4,510539070,90.7,252318,-277185,-24867,8710447,3207457,11917904,1051,170,1221,6259433,2481386,8740819,1,127500,9,3802473,39.75,33.48,38.97,36.93,31.2,36.23
2003 Q4,4128,562741657,41148870,11028850,52177720,7.3,2,9.3,1134810,0,1134810,0.2,0,0.2,34091904,9717868,43809772,6.1,1.7,7.8,510563937,90.7,1051521,1330039,2381560,6889840,3584959,10474799,1111,144,1255,9100102,1939574,11039676,0,0,8,3850973,39.35,32.88,38.45,36.56,30.66,35.75
2003 Q3,4128,562741657,42200391,12358889,54559280,7.5,2.2,9.7,1178114,0,1178114,0.2,0,0.2,33487851,10881494,44369345,6,1.9,7.9,508182377,90.3,-359035,1822799,1463764,6147777,3920619,10068396,1036,151,1187,6685460,1856952,8542412,1,1070212,8,3850973,38.15,33.17,37.36,35.7,31,34.98
2003 Q2,4131,562280576,41380275,14181688,55561963,7.4,2.5,9.9,1215249,0,1215249,0.2,0,0.2,32425587,12297545,44723132,5.8,2.2,8,506718613,90.1,-6228,241845,235617,5824048,2581160,8405208,1022,136,1158,8041230,1951869,9993099,1,1799030,7,4757685,39.3,33.16,38.37,36.75,31.06,35.91
2003 Q1,4131,560641200,39734671,14423533,54158204,7.1,2.6,9.7,1224588,0,1224588,0.2,0,0.2,30267616,3072672,33340288,5.4,0.5,5.9,506482996,90.3,-69837,651497,581660,7488489,3509979,10998468,1449,212,1661,8016656,1946799,9963455,3,2566333,6,5551115,40.45,37.14,40.12,38.17,35.13,37.87
2002 Q4,4133,559351884,38375518,15075030,53450548,6.9,2.7,9.6,1211617,0,1211617,0.2,0,0.2,31989015,13777934,45766949,5.7,2.5,8.2,505901336,90.4,-1050461,810624,-239837,7585079,4109338,11694417,1232,177,1409,7845584,1622590,9468174,1,80330,9,8117448,40.82,37.42,40.25,38.68,35.51,38.14
2002 Q3,4135,559346854,37320027,15885654,53205681,6.7,2.8,9.5,1326445,0,1326445,0.2,0,0.2,31099086,14180238,45279324,5.6,2.5,8.1,506141173,90.5,-4099987,-746562,-4846549,7030109,3833575,10863684,1216,173,1389,7025237,1568959,8594196,0,0,9,8148054,41.78,40.32,41.52,39.62,38.49,39.42
2002 Q2,4136,559361878,33235064,15139092,48374156,5.9,2.7,8.6,1312052,0,1312052,0.2,0,0.2,26953133,14254917,41208050,4.8,2.5,7.4,510987722,91.4,1391397,1228205,2619602,8114482,4619560,12734042,1396,268,1664,9995631,2318740,12314371,3,208879,9,8148054,42.78,42.06,42.64,40.65,40.2,40.56
